x	y
0.000000	-291.928144
0.050050	-1216.090277
0.100100	1452.950846
0.150150	983.276366
0.200200	1304.591698
0.250250	122.771491
0.300300	-641.329432
0.350350	622.667227
0.400400	-1063.768174
0.450450	395.335127
0.500501	720.579311
0.550551	2385.909399
0.600601	1519.199256
0.650651	475.512473
0.700701	-524.513321
0.750751	-126.873948
0.800801	-1733.819287
0.850851	742.960722
0.900901	-624.590007
0.950951	-939.278439
1.001001	1072.308889
1.051051	-754.058787
1.101101	-548.947451
1.151151	-140.331719
1.201201	1604.850038
1.251251	-79.547821
1.301301	154.978307
1.351351	-770.237211
1.401401	-972.339789
1.451451	211.526834
1.501502	-355.004566
1.551552	-551.047150
1.601602	-943.891039
1.651652	-1338.604378
1.701702	1092.354338
1.751752	-143.454572
1.801802	121.886248
1.851852	37.272151
1.901902	-1738.451720
1.951952	-427.622117
2.002002	915.302316
2.052052	1501.172402
2.102102	926.856031
2.152152	354.940546
2.202202	-1623.218674
2.252252	92.418142
2.302302	-458.977550
2.352352	3.000158
2.402402	-596.955159
2.452452	-1687.577219
2.502503	-1746.777054
2.552553	-10.474585
2.602603	-99.660730
2.652653	227.070854
2.702703	417.523548
2.752753	64.720349
2.802803	636.996004
2.852853	-1482.267073
2.902903	-22.728091
2.952953	269.186202
3.003003	-488.674450
3.053053	338.910652
3.103103	-1406.474291
3.153153	-1525.294725
3.203203	515.997696
3.253253	653.095413
3.303303	646.821843
3.353353	963.232169
3.403403	774.235943
3.453453	554.996792
3.503504	-888.499830
3.553554	-83.671079
3.603604	-835.141569
3.653654	948.478529
3.703704	393.828727
3.753754	935.905735
3.803804	1877.939759
3.853854	1217.430549
3.903904	97.219859
3.953954	-98.855848
4.004004	1465.017864
4.054054	-376.794839
4.104104	-257.606106
4.154154	760.637082
4.204204	-542.031841
4.254254	-959.383043
4.304304	-1363.892394
4.354354	-1987.588572
4.404404	-1444.543507
4.454454	60.828120
4.504505	-1004.703215
4.554555	-1255.561930
4.604605	634.811528
4.654655	283.966523
4.704705	6.141248
4.754755	-1009.373720
4.804805	-1659.272131
4.854855	507.441395
4.904905	-914.083562
4.954955	-1230.086526
5.005005	606.487349
5.055055	-877.496976
5.105105	-2842.155674
5.155155	-65.582590
5.205205	-531.246228
5.255255	-582.916389
5.305305	-1097.038354
5.355355	920.502346
5.405405	2538.403365
5.455455	-780.118101
5.505506	643.952589
5.555556	-247.446450
5.605606	-57.589673
5.655656	501.968543
5.705706	-116.169180
5.755756	378.297012
5.805806	957.030065
5.855856	785.285132
5.905906	627.729053
5.955956	-1191.999328
6.006006	494.716384
6.056056	-1176.530831
6.106106	-412.665229
6.156156	-1190.434070
6.206206	537.321166
6.256256	1259.437556
6.306306	-2167.216908
6.356356	-185.529819
6.406406	-895.099420
6.456456	-548.119434
6.506507	-505.675220
6.556557	1603.412371
6.606607	640.125021
6.656657	-448.296148
6.706707	-291.847840
6.756757	-794.421476
6.806807	-314.989493
6.856857	-399.170988
6.906907	920.633666
6.956957	479.373854
7.007007	26.199806
7.057057	3154.495646
7.107107	-1054.412542
7.157157	667.063797
7.207207	-86.039954
7.257257	-473.929105
7.307307	-455.555249
7.357357	-290.092249
7.407407	938.242434
7.457457	583.776617
7.507508	-160.497906
7.557558	1381.961688
7.607608	660.516424
7.657658	-1644.950284
7.707708	2198.012491
7.757758	643.969862
7.807808	-116.107244
7.857858	874.013789
7.907908	-568.799496
7.957958	-702.816234
8.008008	-2089.636714
8.058058	-365.830417
8.108108	-723.679578
8.158158	142.902345
8.208208	-145.151039
8.258258	-1068.520381
8.308308	1830.634306
8.358358	674.249098
8.408408	192.288868
8.458458	245.007262
8.508509	-1518.004224
8.558559	-1614.028446
8.608609	187.184891
8.658659	1261.058374
8.708709	-149.593529
8.758759	1279.330577
8.808809	-237.613564
8.858859	-1792.633042
8.908909	207.729327
8.958959	-697.855872
9.009009	-650.025803
9.059059	1043.176753
9.109109	1644.176534
9.159159	373.654604
9.209209	-1232.004309
9.259259	-310.846153
9.309309	-827.677739
9.359359	-841.523065
9.409409	-1203.905152
9.459459	-505.027209
9.509510	-708.290292
9.559560	624.873202
9.609610	-954.539863
9.659660	-1392.696744
9.709710	-658.646250
9.759760	-68.428934
9.809810	595.891681
9.859860	-188.228105
9.909910	1057.569956
9.959960	-372.595796
10.010010	751.404951
10.060060	-669.480583
10.110110	515.667828
10.160160	1011.886201
10.210210	-397.271117
10.260260	768.871114
10.310310	-2260.875140
10.360360	-2185.428536
10.410410	-1803.700285
10.460460	-1291.190278
10.510511	375.581040
10.560561	-218.686215
10.610611	147.782921
10.660661	1007.146364
10.710711	-127.840377
10.760761	-1490.653114
10.810811	633.288793
10.860861	1293.666310
10.910911	-872.767407
10.960961	346.434645
11.011011	-722.085834
11.061061	-794.894051
11.111111	-1839.256548
11.161161	-1133.600750
11.211211	-114.363757
11.261261	-476.521176
11.311311	-76.182384
11.361361	182.985858
11.411411	1229.833600
11.461461	-750.639143
11.511512	-714.485414
11.561562	322.133011
11.611612	-256.353556
11.661662	-1292.939597
11.711712	-1029.488917
11.761762	-1349.458262
11.811812	131.728605
11.861862	1128.899891
11.911912	-1039.630420
11.961962	-1133.766532
12.012012	-589.687322
12.062062	-883.416539
12.112112	-1577.194390
12.162162	168.411064
12.212212	-1820.146011
12.262262	310.088381
12.312312	-1150.271628
12.362362	-924.350726
12.412412	-305.975567
12.462462	-3122.577179
12.512513	-1888.382590
12.562563	57.751877
12.612613	1068.426431
12.662663	187.672485
12.712713	1036.625088
12.762763	-1781.348675
12.812813	-1375.562632
12.862863	-894.301336
12.912913	-1476.388334
12.962963	-756.459279
13.013013	992.148894
13.063063	-2708.654324
13.113113	180.998811
13.163163	-633.212376
13.213213	-2416.575228
13.263263	-57.212720
13.313313	-1624.090031
13.363363	-68.967825
13.413413	-778.562610
13.463463	-1554.169081
13.513514	1274.331062
13.563564	-952.534541
13.613614	-2104.801363
13.663664	-210.748599
13.713714	772.162574
13.763764	-390.425248
13.813814	-662.307694
13.863864	-719.804158
13.913914	-1309.906106
13.963964	-1034.429068
14.014014	-1185.485298
14.064064	-1995.970632
14.114114	1636.273622
14.164164	-1307.449195
14.214214	-2174.595311
14.264264	-31.481596
14.314314	-2776.044687
14.364364	-282.804713
14.414414	-400.805263
14.464464	-270.271743
14.514515	-745.892436
14.564565	-1738.064180
14.614615	692.247213
14.664665	1163.902706
14.714715	-2550.346361
14.764765	-357.484044
14.814815	-973.119574
14.864865	-734.736549
14.914915	-2131.508680
14.964965	219.504365
15.015015	-436.885039
15.065065	-387.323831
15.115115	295.618174
15.165165	-880.062972
15.215215	-1919.737885
15.265265	-147.835064
15.315315	-1794.418388
15.365365	-728.550294
15.415415	-709.164501
15.465465	-635.359833
15.515516	-1479.890118
15.565566	569.567546
15.615616	-1092.857933
15.665666	-737.613658
15.715716	262.232177
15.765766	-283.039998
15.815816	483.750249
15.865866	295.043843
15.915916	1512.251616
15.965966	-2140.654514
16.016016	-400.224367
16.066066	671.677241
16.116116	1569.425302
16.166166	-1823.094076
16.216216	955.217785
16.266266	808.877574
16.316316	61.445171
16.366366	-674.890808
16.416416	-596.036472
16.466466	-1817.886250
16.516517	-1628.161426
16.566567	-1281.359314
16.616617	-595.540586
16.666667	377.893392
16.716717	-3001.947925
16.766767	-961.165207
16.816817	-120.248574
16.866867	-356.102863
16.916917	-1535.113568
16.966967	201.495610
17.017017	-2562.625967
17.067067	-553.674960
17.117117	-1142.469797
17.167167	-2367.872878
17.217217	-1169.614620
17.267267	-1653.232201
17.317317	-2147.227664
17.367367	-659.385205
17.417417	-1172.065248
17.467467	-790.122739
17.517518	-1827.865558
17.567568	-161.438016
17.617618	-2670.193957
17.667668	-1630.092044
17.717718	-3155.956832
17.767768	-1992.425878
17.817818	-2478.646761
17.867868	-1224.407228
17.917918	-1828.993698
17.967968	-3064.300787
18.018018	-635.622452
18.068068	-1552.506599
18.118118	-1730.827971
18.168168	-2033.712329
18.218218	-2023.733189
18.268268	-740.279016
18.318318	-3620.813035
18.368368	-881.751522
18.418418	-278.284259
18.468468	-2620.113448
18.518519	-3015.228272
18.568569	-483.218603
18.618619	-2669.206704
18.668669	-3928.239634
18.718719	-2463.262425
18.768769	-3994.183016
18.818819	-816.816386
18.868869	-2280.309434
18.918919	-523.260530
18.968969	-1975.555094
19.019019	-2145.069162
19.069069	-2762.448466
19.119119	-1889.012289
19.169169	-1951.403497
19.219219	-1613.005284
19.269269	-872.000315
19.319319	-1903.694332
19.369369	-1127.499611
19.419419	-2537.246970
19.469469	-1625.367511
19.519520	-2597.700466
19.569570	-3643.037687
19.619620	120.421164
19.669670	-4229.409730
19.719720	-1247.606958
19.769770	-2343.192997
19.819820	-2050.666754
19.869870	-4213.326089
19.919920	-1891.523007
19.969970	-2848.257502
20.020020	-2812.493470
20.070070	-4147.579486
20.120120	-3363.129761
20.170170	-1871.666777
20.220220	-3276.885223
20.270270	-941.000828
20.320320	-2829.612273
20.370370	-3371.711149
20.420420	-1140.315041
20.470470	-2607.438331
20.520521	-2947.720907
20.570571	-2744.588544
20.620621	-1547.114662
20.670671	-2752.524675
20.720721	-3432.601032
20.770771	-3122.902683
20.820821	-2467.621141
20.870871	-3917.107047
20.920921	-3974.661312
20.970971	-2821.636279
21.021021	-2087.166565
21.071071	-3475.321391
21.121121	-2527.273331
21.171171	-3199.454731
21.221221	-1036.703169
21.271271	-1999.218610
21.321321	-3348.538032
21.371371	-3000.433528
21.421421	-5120.765119
21.471471	-3110.769972
21.521522	-3688.350384
21.571572	-2693.189967
21.621622	-3512.902223
21.671672	-1925.214218
21.721722	-3318.445792
21.771772	-3630.880144
21.821822	-1593.819395
21.871872	-3495.795515
21.921922	-2735.732730
21.971972	-2972.845369
22.022022	-3040.828692
22.072072	-3456.963225
22.122122	-3324.385149
22.172172	-3816.767467
22.222222	-2045.454230
22.272272	-5030.240451
22.322322	-3035.892217
22.372372	-1623.344202
22.422422	-2540.773603
22.472472	-2986.788476
22.522523	-4737.124906
22.572573	-2457.132262
22.622623	-3485.787020
22.672673	-2660.395631
22.722723	-3689.111329
22.772773	-4451.871153
22.822823	-5049.573731
22.872873	-3477.464822
22.922923	-5375.712756
22.972973	-2843.150812
23.023023	-4113.690346
23.073073	-3243.636556
23.123123	-3049.165938
23.173173	-6009.240820
23.223223	-5014.330127
23.273273	-4372.869204
23.323323	-5135.048404
23.373373	-5150.816529
23.423423	-3961.953225
23.473473	-3772.440053
23.523524	-2710.836413
23.573574	-5141.455844
23.623624	-4438.469866
23.673674	-4186.672690
23.723724	-4605.664639
23.773774	-4684.045278
23.823824	-5279.947121
23.873874	-5181.050364
23.923924	-4502.569934
23.973974	-5899.412286
24.024024	-5848.994510
24.074074	-6495.291890
24.124124	-5525.283470
24.174174	-4869.903036
24.224224	-3747.404355
24.274274	-3280.914208
24.324324	-6372.968726
24.374374	-3615.961451
24.424424	-5001.207118
24.474474	-4937.751710
24.524525	-5520.564729
24.574575	-4721.973573
24.624625	-5568.851698
24.674675	-6392.557642
24.724725	-3723.057735
24.774775	-4579.251754
24.824825	-6672.006481
24.874875	-5254.289893
24.924925	-4355.323526
24.974975	-5107.559347
25.025025	-5519.348756
25.075075	-4386.995545
25.125125	-4406.664604
25.175175	-6893.346365
25.225225	-6719.249769
25.275275	-5220.835725
25.325325	-8447.475681
25.375375	-5796.773606
25.425425	-4778.135343
25.475475	-7035.030439
25.525526	-6631.263719
25.575576	-4819.279253
25.625626	-6566.431366
25.675676	-4957.387666
25.725726	-6074.308543
25.775776	-5767.766048
25.825826	-4105.290724
